PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB562816,2008-08-01:02:23:26,양품,BV-EH36-TM,T8,55.5,3302,11017,31700,1호기,1,1137,89,1131,83,341,1131,864,적용,6,4조
PB562817,2008-08-01:02:23:09,양품,COMMON,T8,55.5,3302,11017,15850,1호기,2,1127,72,1128,100,339,1128,845,적용,6,3조
PB562818,2008-08-01:02:24:27,양품,KS-HSB600,T5,40,3990,13896,34820,2호기,1,1112,77,1124,97,359,1124,808,적용,6,1조
PB562819,2008-08-01:02:24:44,양품,NV-E36-TM,T8,60.58,3105,12386,18290,2호기,2,1125,90,1128,90,345,1128,845,적용,6,4조
PB562820,2008-08-01:02:25:45,양품,COMMON,T8,60.58,2498,11987,14240,3호기,1,1126,73,1126,107,344,1126,850,적용,6,1조
PB562821,2008-08-01:02:25:17,양품,LR-EH36-TM,T8,64.489,3505,7969,14140,3호기,2,1135,106,1130,84,358,1130,852,적용,6,1조
PB562822,2008-08-01:02:25:50,양품,COMMON,T8,60.58,2498,11987,14240,1호기,1,1139,101,1128,82,352,1128,845,적용,6,3조
PB562823,2008-08-01:03:30:18,양품,COMMON,T8,60.63,2498,11977,14240,1호기,2,1129,84,1128,98,346,1128,845,적용,6,4조
PB562824,2008-08-01:03:30:48,양품,LR-EH36-TM,T8,64.489,3505,7969,14140,2호기,1,1131,106,1125,76,345,1125,847,적용,6,2조
PB562825,2008-08-01:03:30:07,양품,COMMON,T8,60.58,2498,11987,14240,2호기,2,1137,116,1129,71,345,1129,849,적용,6,4조
PB562826,2008-08-01:03:31:44,양품,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,1,1130,84,1129,101,345,1129,845,적용,6,4조
PB562827,2008-08-01:03:31:31,양품,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,2,1140,114,1132,74,357,1132,844,적용,6,2조
PB562828,2008-08-01:03:31:37,양품,BV-EH36-TM,T8,60.57,2085,16583,32880,1호기,1,1141,113,1133,73,332,1133,852,적용,6,1조
PB562829,2008-08-01:03:32:13,양품,NV-E36-TM,T8,65.64,3195,11832,19480,1호기,2,1142,121,1135,75,346,1135,853,적용,6,1조
PB562830,2008-08-01:03:32:10,양품,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,1,1137,110,1128,75,341,1128,851,적용,6,2조
PB562831,2008-08-01:03:32:50,양품,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,2,1134,111,1129,72,343,1129,850,적용,6,4조
PB562832,2008-08-01:03:32:34,양품,COMMON,T8,65.69,2498,11978,15430,3호기,1,1138,99,1129,86,352,1129,847,적용,6,2조
PB562833,2008-08-01:03:33:48,양품,COMMON,T8,65.64,2498,11987,15430,3호기,2,1137,109,1132,73,352,1132,849,적용,6,1조
PB562834,2008-08-01:03:33:52,불량,COMMON,T8,65.69,2498,11978,15430,1호기,1,1142,110,1134,73,343,1134,851,적용,5,4조
PB562835,2008-08-01:03:33:38,양품,COMMON,T8,65.64,2498,11987,15430,1호기,2,1144,110,1136,72,346,1136,847,적용,6,3조
PB562836,2008-08-01:03:34:08,양품,COMMON,T8,65.64,2498,11987,15430,2호기,1,1137,98,1129,73,344,1129,847,적용,6,2조
PB562837,2008-08-01:03:34:02,양품,COMMON,T8,65.64,2498,11987,15430,2호기,2,1135,101,1130,73,352,1130,844,적용,6,1조
PB562838,2008-08-01:03:34:26,양품,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,1,1142,109,1130,73,356,1130,840,적용,6,2조
PB562839,2008-08-01:03:34:14,양품,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,2,1145,109,1134,69,350,1134,846,적용,6,1조
PB562840,2008-08-01:03:35:27,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,1호기,1,1144,112,1134,67,341,1134,844,적용,6,1조
PB562841,2008-08-01:03:35:50,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,1호기,2,1147,122,1138,51,352,1138,846,적용,6,1조
PB562842,2008-08-01:03:35:38,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,2호기,1,1136,115,1126,55,288,1126,844,적용,6,3조
PB562843,2008-08-01:04:40:56,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,2호기,2,1138,110,1130,56,344,1130,849,적용,6,3조
PB562844,2008-08-01:04:40:12,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,3호기,1,1139,107,1129,67,346,1129,834,적용,6,2조
PB562845,2008-08-01:04:40:16,불량,BV-EH36-TM,T8,73.71,2725,11009,17360,3호기,2,1142,93,1134,61,355,1134,847,미적용,6,1조
PB562846,2008-08-01:04:41:42,양품,NV-E36-TM,T8,70.6,2265,12913,16210,1호기,1,1129,91,1126,61,296,1126,842,적용,6,3조
PB562847,2008-08-01:04:41:29,양품,COMMON,T8,73.71,2725,9785,15430,1호기,2,1123,106,1124,62,310,1124,845,적용,6,4조
PB562848,2008-08-01:04:42:25,양품,COMMON,T8,73.71,2725,9754,15380,2호기,2,1113,96,1122,68,310,1122,773,적용,6,3조
PB562849,2008-08-01:04:43:58,양품,GL-E36-TM,T8,75.71,2500,14126,41980,2호기,1,1133,94,1125,76,304,1125,859,적용,6,4조
PB562850,2008-08-01:04:41:04,양품,GL-E36-TM,T8,75.71,2500,14093,41880,3호기,1,1126,103,1125,61,275,1125,843,적용,6,4조
PB562851,2008-08-01:04:43:30,양품,COMMON,T8,75.71,2725,9749,15790,3호기,2,1123,79,1126,61,291,1126,760,적용,6,1조
PB562852,2008-08-01:04:44:30,양품,GL-E36-TM,T8,75.71,2505,9249,13770,1호기,1,1132,79,1127,83,319,1127,842,적용,6,2조
PB562853,2008-08-01:04:45:03,불량,GL-E36-TM,T8,75.71,2505,9249,13770,1호기,2,1142,82,1131,69,314,1131,847,미적용,6,4조
PB562854,2008-08-01:05:50:36,양품,GL-E36-TM,T8,75.71,2500,9018,13400,2호기,1,1132,78,1124,85,316,1124,843,적용,6,1조
PB562855,2008-08-01:05:50:06,양품,GL-E36-TM,T8,75.71,2500,9018,13400,2호기,2,1131,77,1125,95,325,1125,844,적용,6,4조
PB562856,2008-08-01:05:51:17,양품,GL-E36-TM,T8,75.71,2500,9267,13770,3호기,1,1132,77,1124,101,323,1124,843,적용,6,4조
PB562857,2008-08-01:05:51:45,양품,GL-E36-TM,T8,75.71,2500,9584,14240,3호기,2,1131,80,1126,98,331,1126,843,적용,6,1조
PB562858,2008-08-01:05:52:21,양품,AB/EH36-TM,T8,75.81,2498,9538,14180,1호기,1,1130,79,1125,98,321,1125,840,적용,6,2조
PB562859,2008-08-01:05:52:32,불량,AB/EH36-TM,T8,83.32,2560,10409,17430,1호기,2,1124,77,1124,99,342,1124,846,미적용,6,2조
PB562860,2008-08-01:05:52:22,양품,AB/EH36-TM,T8,83.32,2560,10409,17430,2호기,1,1116,77,1122,100,342,1122,839,적용,6,3조
PB562861,2008-08-01:05:53:45,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,2호기,2,1130,78,1125,100,332,1125,843,적용,6,1조
PB562862,2008-08-01:05:53:58,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,3호기,1,1129,87,1123,104,332,1123,844,적용,6,3조
PB562863,2008-08-01:05:53:39,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,3호기,2,1129,78,1126,100,338,1126,841,적용,6,3조
PB562864,2008-08-01:05:54:08,양품,BV-B,C0,20.13,3575,39279,66570,3호기,1,1129,76,1126,118,336,1126,934,적용,8,1조
PB562865,2008-08-01:05:54:28,양품,BV-B,C0,20.13,3575,39545,67020,3호기,2,1140,68,1132,104,348,1132,911,적용,8,4조
PB562866,2008-08-01:05:54:29,양품,LR-B,C0,17.1,3370,39613,35840,2호기,2,1130,71,1130,112,348,1130,935,적용,10,1조
PB562867,2008-08-01:05:54:26,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,1,1140,80,1131,117,352,1131,915,적용,10,2조
PB562868,2008-08-01:05:55:53,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,2,1142,74,1132,123,353,1132,923,적용,10,4조
PB562869,2008-08-01:05:55:44,양품,JS-SM490YB,C0,14.09,3284,51234,93050,2호기,1,1142,75,1131,122,353,1131,913,적용,10,1조
PB562870,2008-08-01:05:55:04,양품,BV-B,C0,20.43,3431,41254,68100,3호기,1,1134,69,1132,119,343,1132,977,적용,8,1조
PB562871,2008-08-01:05:55:16,양품,BV-B,C0,20.43,3431,40327,66570,3호기,2,1135,68,1142,103,342,1142,985,적용,8,3조
PB562872,2008-08-01:06:60:50,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,1,1143,65,1136,118,354,1136,955,적용,10,3조
PB562873,2008-08-01:06:60:13,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,2,1140,65,1136,119,355,1136,955,적용,10,3조
PB562874,2008-08-01:06:60:32,양품,JS-SM490YB,C0,14.09,3284,51234,93050,2호기,1,1147,83,1141,108,360,1141,950,적용,10,4조
PB562875,2008-08-01:06:60:12,양품,JS-SM490YB,C0,14.09,3284,49142,89250,2호기,2,1136,72,1145,117,360,1145,952,적용,10,3조
PB562876,2008-08-01:06:61:33,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,1,1131,70,1141,120,352,1141,956,적용,10,4조
PB562877,2008-08-01:06:61:18,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,2,1133,69,1143,123,359,1143,920,적용,10,1조
PB562878,2008-08-01:06:61:27,양품,JS-SM490YB,C0,14.09,3284,44874,81500,2호기,2,1145,114,1150,78,348,1150,959,적용,10,1조
PB562879,2008-08-01:06:61:49,양품,JS-SM490YB,C0,14.09,3284,49142,89250,2호기,1,1140,101,1151,95,352,1151,918,적용,10,4조
PB562880,2008-08-01:06:62:02,양품,JS-SM490YB,C0,14.09,3094,41815,71550,3호기,1,1129,65,1148,131,363,1148,930,적용,10,3조
PB562881,2008-08-01:06:62:20,불량,JS-SM490YB,C0,14.09,3094,41815,85860,3호기,2,1151,104,1155,75,349,1155,930,적용,9,4조
PB562882,2008-08-01:06:62:05,양품,JS-SM490YB,C0,14.09,3094,41815,71550,1호기,1,1154,121,1156,72,360,1156,944,적용,10,4조
PB562883,2008-08-01:06:62:16,양품,JS-SM490YB,C0,14.09,3094,41815,71550,1호기,2,1144,88,1154,107,362,1154,930,적용,10,2조
PB562884,2008-08-01:06:63:42,양품,JS-SM490YB,C0,16.09,3094,39637,77450,2호기,2,1144,118,1157,72,343,1157,976,적용,10,3조
PB562885,2008-08-01:06:63:16,양품,JS-SM490YB,C0,16.09,2813,49732,70680,2호기,1,1151,117,1158,80,366,1158,956,적용,10,2조
PB562886,2008-08-01:06:63:49,불량,KR-B,C0,15.59,3105,54290,82520,3호기,1,1148,103,1153,91,356,1153,937,미적용,10,2조
PB562887,2008-08-01:06:63:19,양품,JS-SM490YB,C0,18.1,3094,41786,91850,3호기,2,1150,118,1158,73,345,1158,950,적용,10,4조
PB562888,2008-08-01:06:64:58,불량,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,1,1158,130,1162,54,345,1162,1004,적용,10,2조
PB562889,2008-08-01:06:64:53,양품,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,2,1159,132,1164,54,358,1164,961,적용,10,3조
PB562890,2008-08-01:06:64:16,양품,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,1,1146,108,1163,88,351,1163,996,적용,10,2조
PB562891,2008-08-01:06:65:45,불량,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,2,1144,128,1159,65,332,1159,995,적용,9,4조
PB562892,2008-08-01:06:65:33,양품,JS-SM490YB,C0,18.1,3094,41786,91850,3호기,1,1141,106,1156,87,356,1156,953,적용,10,1조
PB562893,2008-08-01:06:65:57,양품,LR-A,C0,17.4,2886,43100,33980,3호기,2,1134,119,1158,72,352,1158,956,적용,10,4조
PB562894,2008-08-01:06:65:03,양품,JS-SM490YB,C0,20.1,3094,39288,95900,1호기,1,1167,131,1165,55,333,1165,992,적용,8,2조
PB562895,2008-08-01:07:70:37,양품,JS-SM490YB,C0,20.1,3094,39288,115080,1호기,2,1169,136,1167,56,350,1167,988,적용,8,4조
PB562896,2008-08-01:07:70:29,양품,JS-SM490A,C0,21.11,3034,43220,86920,3호기,1,1135,120,1157,67,345,1157,982,적용,8,3조
PB562897,2008-08-01:07:70:56,양품,KS-SM400B,C0,14.06,2654,53904,78950,2호기,1,1165,135,1164,61,351,1164,967,적용,10,2조
PB562898,2008-08-01:07:70:36,양품,JS-SM490YB,C0,15.09,2472,43234,50640,2호기,2,1143,118,1162,79,347,1162,975,적용,10,2조
PB562899,2008-08-01:07:71:04,불량,JS-SM490YB,C0,16.09,2552,36794,47440,3호기,2,1155,119,1166,72,330,1166,1008,적용,10,3조
PB562900,2008-08-01:07:71:24,불량,JS-SM490YB,C0,16.09,2512,37380,35580,1호기,1,1172,130,1166,62,329,1166,1018,적용,10,4조
PB562901,2008-08-01:07:71:21,불량,JS-SM490YB,C0,16.09,2561,42940,55560,1호기,2,1170,129,1167,64,345,1167,1006,적용,10,3조
PB562902,2008-08-01:07:71:32,양품,BV-B,C0,15.38,2580,42376,13200,2호기,1,1165,113,1164,71,346,1164,999,적용,10,1조
PB562903,2008-08-01:07:72:20,불량,BV-B,C0,16.6,2476,42678,55080,2호기,2,1163,121,1163,70,339,1163,1005,적용,10,3조
PB562904,2008-08-01:07:72:35,불량,BV-B,C0,18.11,2477,43959,77400,3호기,1,1162,134,1162,62,317,1162,1008,적용,9,1조
PB562905,2008-08-01:07:72:46,불량,JS-SM400B,C0,18.1,2520,42675,61120,3호기,2,1167,130,1166,63,319,1166,1012,적용,10,3조
PB562906,2008-08-01:07:72:58,불량,BV-B,C0,18.62,2761,42867,69200,1호기,1,1171,111,1165,60,317,1165,1002,적용,10,1조
PB562907,2008-08-01:07:73:03,불량,AB/B,C0,19.13,2440,39981,73250,1호기,2,1171,110,1167,61,317,1167,1023,적용,10,4조
PB562908,2008-08-01:07:73:30,불량,JS-SM490YB,C0,20.1,2569,48945,99200,3호기,1,1171,92,1166,56,311,1166,1015,적용,8,4조
PB562909,2008-08-01:07:73:53,불량,KS-SS400,C0,20.1,2469,41070,80000,2호기,1,1166,114,1165,60,353,1165,1021,적용,8,2조
PB562910,2008-08-01:07:73:14,불량,KS-SS400,C0,20.1,2664,45986,57990,2호기,2,1159,95,1165,65,318,1165,1011,적용,8,1조
PB562911,2008-08-01:07:74:32,불량,JS-SM490YB,C0,20.1,2433,42694,65560,3호기,2,1172,80,1169,72,328,1169,1013,적용,8,3조
PB562912,2008-08-01:07:74:01,불량,JS-SM490YB,C0,20.1,2569,48822,98950,1호기,2,1162,111,1164,69,316,1164,1019,적용,8,2조
PB562913,2008-08-01:07:74:30,불량,JS-SM490YB,C0,20.1,2554,48761,98250,1호기,1,1169,76,1166,74,330,1166,1006,적용,8,2조
PB562914,2008-08-01:07:74:28,불량,JS-SM490YB,C0,20.1,2569,44751,90700,2호기,1,1176,94,1170,59,319,1170,1026,적용,8,1조
PB562915,2008-08-01:07:75:52,불량,JS-SM490YB,C0,20.1,2493,38667,76050,2호기,2,1171,91,1170,57,315,1170,1027,적용,7,4조
PB562916,2008-08-01:07:75:52,불량,JS-SM490YB,C0,20.1,2554,45833,92350,3호기,1,1175,91,1167,60,314,1167,1020,적용,8,3조
PB562917,2008-08-01:07:75:35,불량,JS-SM490YB,C0,20.1,2569,48822,98950,3호기,2,1175,88,1169,61,314,1169,1014,적용,8,1조
PB562918,2008-08-01:07:75:49,불량,JS-SM490YB,C0,20.1,2469,33472,65200,1호기,1,1173,57,1168,73,325,1168,1022,적용,8,3조
PB562919,2008-08-01:08:80:22,불량,KR-A,C0,21.15,2684,49908,111200,3호기,1,1167,78,1165,63,299,1165,1007,적용,8,1조
PB562920,2008-08-01:08:80:12,불량,NV-A,C0,22.16,2634,49999,22910,3호기,2,1171,89,1167,50,297,1167,1007,적용,8,4조
PB562921,2008-08-01:08:80:23,불량,JS-SM490YB,C0,20.1,2573,36528,74150,2호기,1,1176,73,1169,56,314,1169,1017,적용,7,4조
PB562922,2008-08-01:08:80:35,불량,LR-B,C0,20.43,2641,42072,17820,2호기,2,1175,85,1167,58,330,1167,1006,적용,8,3조
PB562923,2008-08-01:08:81:49,불량,KR-A,C0,22.66,2782,43466,86040,1호기,2,1174,58,1169,82,320,1169,1007,적용,8,1조
PB562924,2008-08-01:08:81:45,불량,JS-SS400,C0,25.12,2466,31422,76400,1호기,1,1166,73,1164,57,298,1164,1022,적용,8,3조
PB562925,2008-08-01:08:81:03,불량,KS-SM400A,C0,30,2530,37847,90200,3호기,1,1168,89,1164,50,296,1164,1031,적용,7,4조
PB562926,2008-08-01:08:81:05,불량,JS-SS400,C0,35.15,2466,31229,106250,1호기,2,1159,61,1162,72,303,1162,1030,적용,8,4조
PB562927,2008-08-01:08:81:45,불량,JS-SS400,C0,35.15,2466,31229,106250,3호기,2,1164,79,1167,61,296,1167,1062,적용,8,3조
PB562928,2008-08-01:08:82:22,불량,JS-SS400,C0,40.16,2464,25077,77920,2호기,1,1174,74,1167,60,312,1167,1078,적용,6,3조
PB562929,2008-08-01:08:82:02,불량,JS-SS400,C0,40.16,2464,25077,77920,2호기,2,1167,77,1165,58,308,1165,1066,적용,6,1조
PB562930,2008-08-01:08:82:59,불량,JS-SS400,C0,55.2,2503,15286,49740,1호기,1,1155,77,1155,55,326,1155,1056,적용,6,4조
PB562931,2008-08-01:08:82:11,불량,JS-SS400,C0,80.28,2503,10511,33160,1호기,2,1157,68,1159,67,312,1159,1068,적용,6,3조
PB562932,2008-08-01:08:82:39,불량,JS-SM490A,C0,40.16,2170,33415,45720,3호기,1,1155,73,1161,55,309,1161,1054,적용,6,3조
PB562933,2008-08-01:08:82:57,불량,KS-SM490B,C0,35.15,2000,29862,32960,2호기,1,1162,80,1162,47,326,1162,1054,적용,8,4조
PB562934,2008-08-01:08:83:13,불량,KS-SM490B,C0,35.15,2000,29862,32960,2호기,2,1159,83,1160,52,330,1160,1053,적용,8,1조
PB562935,2008-08-01:08:83:08,양품,V42JBN3,C3,32.06,2200,37440,62190,3호기,2,1172,78,1167,52,295,1167,902,적용,8,2조
PB562936,2008-08-01:08:83:45,양품,V42JBN3,C3,32.06,2200,37440,62190,1호기,1,1163,77,1160,64,309,1160,907,적용,8,1조
PB562937,2008-08-01:08:85:20,불량,V42JBN3,C3,32.06,2200,37440,62190,1호기,2,1166,75,1166,72,316,1166,901,미적용,8,2조
PB562938,2008-08-01:08:85:49,불량,LR-A,C0,22.15,2275,36504,28880,2호기,1,1162,74,1163,65,322,1163,1005,적용,7,1조
PB562939,2008-08-01:08:85:49,불량,KS-SM400B,C0,22.2,2200,36463,13980,2호기,2,1164,71,1165,73,319,1165,1006,적용,8,1조
PB562940,2008-08-01:08:84:38,불량,KR-A,C0,21.14,2200,41688,30440,3호기,1,1174,76,1167,49,302,1167,1037,적용,8,4조
PB562941,2008-08-01:08:85:27,양품,JS-SM490YB,C0,20.1,2569,44628,72360,3호기,2,1173,78,1167,55,309,1167,976,적용,8,3조
PB562942,2008-08-01:09:90:22,불량,JS-SM490YB,C0,20.1,2574,45600,92600,1호기,1,1165,78,1163,71,314,1163,1004,적용,8,4조
PB562943,2008-08-01:09:90:57,불량,JS-SS400,C1,20.18,2240,36748,65200,1호기,2,1171,99,1167,54,318,1167,1005,적용,8,4조
PB562944,2008-08-01:09:90:50,불량,JS-SM490YB,C0,20.1,2040,42841,68950,2호기,1,1165,76,1165,62,319,1165,1024,적용,8,2조
PB562945,2008-08-01:09:91:43,불량,LR-B,C0,20.13,2200,43492,60480,2호기,2,1161,62,1166,75,316,1166,1027,적용,8,4조
PB562946,2008-08-01:09:90:45,불량,JS-SM490YB,C0,20.1,2160,41723,71100,3호기,1,1170,66,1167,60,306,1167,1018,적용,8,4조
PB562947,2008-08-01:09:90:39,불량,JS-SM490YB,C0,20.1,2221,43117,75550,3호기,2,1171,65,1167,64,306,1167,1030,적용,8,1조
PB562948,2008-08-01:09:91:42,불량,JS-SM490YB,C0,20.1,2232,43728,77000,1호기,1,1169,77,1165,73,314,1165,1031,적용,8,4조
PB562949,2008-08-01:09:91:37,불량,JS-SM490YB,C0,20.1,2221,42061,73700,1호기,2,1177,88,1171,58,311,1171,1035,적용,8,3조
PB562950,2008-08-01:09:91:41,불량,BV-AH32,C0,19.62,2082,43753,42090,2호기,1,1161,74,1162,54,311,1162,1016,적용,10,4조
PB562951,2008-08-01:09:91:30,불량,JS-SM490YA,C0,19.1,2040,38774,35580,2호기,2,1172,72,1166,54,308,1166,1027,적용,10,3조
